instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Date,Date_Integer
620,29-01-2011,1,0,1,1,False,6,1,0.22,0.2273,0.64,0.194,0,20,20,2011-01-29,29012011
621,29-01-2011,1,0,1,2,False,6,1,0.22,0.2273,0.64,0.1642,0,15,15,2011-01-29,29012011
622,29-01-2011,1,0,1,3,False,6,1,0.2,0.2121,0.64,0.1343,3,5,8,2011-01-29,29012011
623,29-01-2011,1,0,1,4,False,6,1,0.16,0.1818,0.69,0.1045,1,2,3,2011-01-29,29012011
624,29-01-2011,1,0,1,6,False,6,1,0.16,0.1818,0.64,0.1343,0,2,2,2011-01-29,29012011
625,29-01-2011,1,0,1,7,False,6,1,0.16,0.1818,0.59,0.1045,1,4,5,2011-01-29,29012011
626,29-01-2011,1,0,1,8,False,6,1,0.18,0.197,0.55,0.1642,3,31,34,2011-01-29,29012011
627,29-01-2011,1,0,1,9,False,6,1,0.18,0.2121,0.59,0.0896,0,34,34,2011-01-29,29012011
628,29-01-2011,1,0,1,10,False,6,2,0.18,0.2121,0.64,0.1045,4,51,55,2011-01-29,29012011
629,29-01-2011,1,0,1,11,False,6,2,0.18,0.197,0.64,0.1343,4,60,64,2011-01-29,29012011
630,29-01-2011,1,0,1,12,False,6,2,0.2,0.197,0.59,0.194,12,66,78,2011-01-29,29012011
631,29-01-2011,1,0,1,13,False,6,2,0.22,0.2273,0.55,0.1642,9,56,65,2011-01-29,29012011
632,29-01-2011,1,0,1,14,False,6,2,0.22,0.2273,0.6,0.1343,10,89,99,2011-01-29,29012011
633,29-01-2011,1,0,1,15,False,6,1,0.22,0.2121,0.69,0.2537,22,98,120,2011-01-29,29012011
634,29-01-2011,1,0,1,16,False,6,1,0.24,0.2424,0.6,0.1642,19,88,107,2011-01-29,29012011
635,29-01-2011,1,0,1,17,False,6,1,0.24,0.2879,0.6,0.0,9,82,91,2011-01-29,29012011
636,29-01-2011,1,0,1,18,False,6,1,0.22,0.2273,0.69,0.1343,9,59,68,2011-01-29,29012011
637,29-01-2011,1,0,1,19,False,6,2,0.22,0.2121,0.69,0.2537,6,52,58,2011-01-29,29012011
638,29-01-2011,1,0,1,20,False,6,1,0.18,0.2121,0.74,0.0896,1,42,43,2011-01-29,29012011
639,29-01-2011,1,0,1,21,False,6,1,0.18,0.2121,0.74,0.0896,1,35,36,2011-01-29,29012011
640,29-01-2011,1,0,1,22,False,6,1,0.16,0.197,0.8,0.0896,4,28,32,2011-01-29,29012011
641,29-01-2011,1,0,1,23,False,6,1,0.16,0.197,0.8,0.0896,3,30,33,2011-01-29,29012011
642,30-01-2011,1,0,1,0,False,0,1,0.16,0.1818,0.8,0.1045,0,33,33,2011-01-30,30012011
643,30-01-2011,1,0,1,1,False,0,1,0.14,0.2121,0.8,0.0,7,22,29,2011-01-30,30012011
644,30-01-2011,1,0,1,2,False,0,1,0.16,0.2273,0.8,0.0,1,10,11,2011-01-30,30012011
645,30-01-2011,1,0,1,3,False,0,1,0.14,0.2121,0.93,0.0,1,7,8,2011-01-30,30012011
646,30-01-2011,1,0,1,4,False,0,1,0.14,0.2121,0.93,0.0,0,1,1,2011-01-30,30012011
647,30-01-2011,1,0,1,5,False,0,1,0.14,0.2121,0.86,0.0,0,3,3,2011-01-30,30012011
648,30-01-2011,1,0,1,7,False,0,1,0.14,0.2121,0.86,0.0,0,3,3,2011-01-30,30012011
649,30-01-2011,1,0,1,8,False,0,2,0.14,0.2121,0.86,0.0,1,11,12,2011-01-30,30012011
650,30-01-2011,1,0,1,9,False,0,2,0.16,0.2273,0.8,0.0,4,34,38,2011-01-30,30012011
651,30-01-2011,1,0,1,10,False,0,2,0.18,0.2424,0.8,0.0,7,57,64,2011-01-30,30012011
652,30-01-2011,1,0,1,11,False,0,1,0.22,0.2727,0.75,0.0,9,50,59,2011-01-30,30012011
653,30-01-2011,1,0,1,12,False,0,1,0.3,0.3182,0.52,0.1045,10,87,97,2011-01-30,30012011
654,30-01-2011,1,0,1,13,False,0,1,0.28,0.2879,0.61,0.1045,13,71,84,2011-01-30,30012011
655,30-01-2011,1,0,1,14,False,0,1,0.28,0.303,0.61,0.0896,18,104,122,2011-01-30,30012011
656,30-01-2011,1,0,1,15,False,0,1,0.3,0.3333,0.56,0.0,14,95,109,2011-01-30,30012011
657,30-01-2011,1,0,1,16,False,0,1,0.3,0.3333,0.56,0.0,19,104,123,2011-01-30,30012011
658,30-01-2011,1,0,1,17,False,0,1,0.3,0.2879,0.56,0.194,6,71,77,2011-01-30,30012011
659,30-01-2011,1,0,1,18,False,0,1,0.26,0.2576,0.65,0.1642,8,57,65,2011-01-30,30012011
660,30-01-2011,1,0,1,19,False,0,1,0.26,0.2576,0.65,0.194,9,46,55,2011-01-30,30012011
661,30-01-2011,1,0,1,20,False,0,2,0.26,0.2727,0.65,0.1045,3,30,33,2011-01-30,30012011
662,30-01-2011,1,0,1,21,False,0,2,0.24,0.2424,0.7,0.1642,3,25,28,2011-01-30,30012011
663,30-01-2011,1,0,1,22,False,0,2,0.24,0.2273,0.7,0.194,2,19,21,2011-01-30,30012011
664,30-01-2011,1,0,1,23,False,0,2,0.24,0.2121,0.65,0.2836,5,16,21,2011-01-30,30012011
665,31-01-2011,1,0,1,0,False,1,2,0.24,0.2273,0.65,0.2239,1,6,7,2011-01-31,31012011
666,31-01-2011,1,0,1,1,False,1,1,0.22,0.2121,0.64,0.2537,2,5,7,2011-01-31,31012011
667,31-01-2011,1,0,1,2,False,1,1,0.22,0.2273,0.64,0.194,0,1,1,2011-01-31,31012011
668,31-01-2011,1,0,1,3,False,1,1,0.22,0.2273,0.64,0.194,0,2,2,2011-01-31,31012011
669,31-01-2011,1,0,1,4,False,1,1,0.2,0.197,0.59,0.2239,0,2,2,2011-01-31,31012011
670,31-01-2011,1,0,1,5,False,1,1,0.18,0.1667,0.64,0.2836,0,8,8,2011-01-31,31012011
671,31-01-2011,1,0,1,6,False,1,1,0.16,0.1364,0.69,0.3284,0,37,37,2011-01-31,31012011
672,31-01-2011,1,0,1,7,False,1,2,0.16,0.1364,0.64,0.2836,1,71,72,2011-01-31,31012011
673,31-01-2011,1,0,1,8,False,1,2,0.16,0.1364,0.59,0.2836,3,182,185,2011-01-31,31012011
674,31-01-2011,1,0,1,9,False,1,2,0.16,0.1364,0.59,0.2985,0,112,112,2011-01-31,31012011
675,31-01-2011,1,0,1,10,False,1,2,0.16,0.1515,0.59,0.194,1,68,69,2011-01-31,31012011
676,31-01-2011,1,0,1,11,False,1,2,0.16,0.1515,0.59,0.194,2,46,48,2011-01-31,31012011
677,31-01-2011,1,0,1,12,False,1,2,0.18,0.2121,0.55,0.1045,6,62,68,2011-01-31,31012011
678,31-01-2011,1,0,1,13,False,1,2,0.16,0.2273,0.59,0.0,2,52,54,2011-01-31,31012011
679,31-01-2011,1,0,1,14,False,1,2,0.18,0.197,0.55,0.1343,1,85,86,2011-01-31,31012011
680,31-01-2011,1,0,1,15,False,1,2,0.16,0.1818,0.59,0.1343,3,41,44,2011-01-31,31012011
681,31-01-2011,1,0,1,16,False,1,2,0.16,0.1818,0.56,0.194,3,83,86,2011-01-31,31012011
