instant,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Date_Integer
620,1,0,1,1,False,6,1,0.22,0.2273,0.64,0.194,0,20,20,29012011
621,1,0,1,2,False,6,1,0.22,0.2273,0.64,0.1642,0,15,15,29012011
622,1,0,1,3,False,6,1,0.2,0.2121,0.64,0.1343,3,5,8,29012011
623,1,0,1,4,False,6,1,0.16,0.1818,0.69,0.1045,1,2,3,29012011
624,1,0,1,6,False,6,1,0.16,0.1818,0.64,0.1343,0,2,2,29012011
625,1,0,1,7,False,6,1,0.16,0.1818,0.59,0.1045,1,4,5,29012011
626,1,0,1,8,False,6,1,0.18,0.197,0.55,0.1642,3,31,34,29012011
627,1,0,1,9,False,6,1,0.18,0.2121,0.59,0.0896,0,34,34,29012011
628,1,0,1,10,False,6,2,0.18,0.2121,0.64,0.1045,4,51,55,29012011
629,1,0,1,11,False,6,2,0.18,0.197,0.64,0.1343,4,60,64,29012011
630,1,0,1,12,False,6,2,0.2,0.197,0.59,0.194,12,66,78,29012011
631,1,0,1,13,False,6,2,0.22,0.2273,0.55,0.1642,9,56,65,29012011
632,1,0,1,14,False,6,2,0.22,0.2273,0.6,0.1343,10,89,99,29012011
633,1,0,1,15,False,6,1,0.22,0.2121,0.69,0.2537,22,98,120,29012011
634,1,0,1,16,False,6,1,0.24,0.2424,0.6,0.1642,19,88,107,29012011
635,1,0,1,17,False,6,1,0.24,0.2879,0.6,0.0,9,82,91,29012011
636,1,0,1,18,False,6,1,0.22,0.2273,0.69,0.1343,9,59,68,29012011
637,1,0,1,19,False,6,2,0.22,0.2121,0.69,0.2537,6,52,58,29012011
638,1,0,1,20,False,6,1,0.18,0.2121,0.74,0.0896,1,42,43,29012011
639,1,0,1,21,False,6,1,0.18,0.2121,0.74,0.0896,1,35,36,29012011
640,1,0,1,22,False,6,1,0.16,0.197,0.8,0.0896,4,28,32,29012011
641,1,0,1,23,False,6,1,0.16,0.197,0.8,0.0896,3,30,33,29012011
642,1,0,1,0,False,0,1,0.16,0.1818,0.8,0.1045,0,33,33,30012011
643,1,0,1,1,False,0,1,0.14,0.2121,0.8,0.0,7,22,29,30012011
644,1,0,1,2,False,0,1,0.16,0.2273,0.8,0.0,1,10,11,30012011
645,1,0,1,3,False,0,1,0.14,0.2121,0.93,0.0,1,7,8,30012011
646,1,0,1,4,False,0,1,0.14,0.2121,0.93,0.0,0,1,1,30012011
647,1,0,1,5,False,0,1,0.14,0.2121,0.86,0.0,0,3,3,30012011
648,1,0,1,7,False,0,1,0.14,0.2121,0.86,0.0,0,3,3,30012011
649,1,0,1,8,False,0,2,0.14,0.2121,0.86,0.0,1,11,12,30012011
650,1,0,1,9,False,0,2,0.16,0.2273,0.8,0.0,4,34,38,30012011
651,1,0,1,10,False,0,2,0.18,0.2424,0.8,0.0,7,57,64,30012011
652,1,0,1,11,False,0,1,0.22,0.2727,0.75,0.0,9,50,59,30012011
653,1,0,1,12,False,0,1,0.3,0.3182,0.52,0.1045,10,87,97,30012011
654,1,0,1,13,False,0,1,0.28,0.2879,0.61,0.1045,13,71,84,30012011
655,1,0,1,14,False,0,1,0.28,0.303,0.61,0.0896,18,104,122,30012011
656,1,0,1,15,False,0,1,0.3,0.3333,0.56,0.0,14,95,109,30012011
657,1,0,1,16,False,0,1,0.3,0.3333,0.56,0.0,19,104,123,30012011
658,1,0,1,17,False,0,1,0.3,0.2879,0.56,0.194,6,71,77,30012011
659,1,0,1,18,False,0,1,0.26,0.2576,0.65,0.1642,8,57,65,30012011
660,1,0,1,19,False,0,1,0.26,0.2576,0.65,0.194,9,46,55,30012011
661,1,0,1,20,False,0,2,0.26,0.2727,0.65,0.1045,3,30,33,30012011
662,1,0,1,21,False,0,2,0.24,0.2424,0.7,0.1642,3,25,28,30012011
663,1,0,1,22,False,0,2,0.24,0.2273,0.7,0.194,2,19,21,30012011
664,1,0,1,23,False,0,2,0.24,0.2121,0.65,0.2836,5,16,21,30012011
665,1,0,1,0,False,1,2,0.24,0.2273,0.65,0.2239,1,6,7,31012011
666,1,0,1,1,False,1,1,0.22,0.2121,0.64,0.2537,2,5,7,31012011
667,1,0,1,2,False,1,1,0.22,0.2273,0.64,0.194,0,1,1,31012011
668,1,0,1,3,False,1,1,0.22,0.2273,0.64,0.194,0,2,2,31012011
669,1,0,1,4,False,1,1,0.2,0.197,0.59,0.2239,0,2,2,31012011
670,1,0,1,5,False,1,1,0.18,0.1667,0.64,0.2836,0,8,8,31012011
671,1,0,1,6,False,1,1,0.16,0.1364,0.69,0.3284,0,37,37,31012011
672,1,0,1,7,False,1,2,0.16,0.1364,0.64,0.2836,1,71,72,31012011
673,1,0,1,8,False,1,2,0.16,0.1364,0.59,0.2836,3,182,185,31012011
674,1,0,1,9,False,1,2,0.16,0.1364,0.59,0.2985,0,112,112,31012011
675,1,0,1,10,False,1,2,0.16,0.1515,0.59,0.194,1,68,69,31012011
676,1,0,1,11,False,1,2,0.16,0.1515,0.59,0.194,2,46,48,31012011
677,1,0,1,12,False,1,2,0.18,0.2121,0.55,0.1045,6,62,68,31012011
678,1,0,1,13,False,1,2,0.16,0.2273,0.59,0.0,2,52,54,31012011
679,1,0,1,14,False,1,2,0.18,0.197,0.55,0.1343,1,85,86,31012011
680,1,0,1,15,False,1,2,0.16,0.1818,0.59,0.1343,3,41,44,31012011
681,1,0,1,16,False,1,2,0.16,0.1818,0.56,0.194,3,83,86,31012011
682,1,0,1,17,False,1,2,0.16,0.1515,0.59,0.194,6,155,161,31012011
683,1,0,1,18,False,1,2,0.16,0.1515,0.55,0.2239,3,153,156,31012011
684,1,0,1,19,False,1,1,0.3,0.3182,0.61,0.1045,3,108,111,31012011
685,1,0,1,20,False,1,3,0.16,0.1667,0.59,0.1642,0,78,78,31012011
686,1,0,1,21,False,1,3,0.16,0.197,0.59,0.0896,3,53,56,31012011
687,1,0,1,22,False,1,2,0.16,0.1818,0.59,0.1045,0,34,34,31012011
688,1,0,1,23,False,1,2,0.16,0.197,0.64,0.0896,2,15,17,31012011
689,1,0,2,0,False,2,2,0.16,0.1818,0.64,0.1045,2,6,8,1022011
690,1,0,2,1,False,2,2,0.16,0.1818,0.69,0.1045,0,3,3,1022011
691,1,0,2,2,False,2,2,0.16,0.2273,0.69,0.0,0,2,2,1022011
692,1,0,2,3,False,2,2,0.16,0.2273,0.69,0.0,0,2,2,1022011
693,1,0,2,5,False,2,3,0.14,0.2121,0.93,0.0,0,3,3,1022011
694,1,0,2,6,False,2,3,0.14,0.2121,0.93,0.0,0,22,22,1022011
695,1,0,2,7,False,2,3,0.16,0.2273,0.93,0.0,0,52,52,1022011
696,1,0,2,8,False,2,3,0.16,0.2273,0.93,0.0,3,132,135,1022011
697,1,0,2,9,False,2,2,0.16,0.2273,0.93,0.0,2,114,116,1022011
698,1,0,2,10,False,2,2,0.16,0.2273,0.93,0.0,0,47,47,1022011
699,1,0,2,11,False,2,2,0.18,0.2424,0.86,0.0,2,49,51,1022011
700,1,0,2,12,False,2,2,0.2,0.2576,0.86,0.0,2,53,55,1022011
