instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,Unnamed: 0,atemp,hum,windspeed,casual,registered,cnt,Date,Date_Integer
1,01-01-2011,1,0,1,0,False,6,1,0.24,0,0.2879,0.81,0.0,3,13,16,2011-01-01,1012011
2,01-01-2011,1,0,1,1,False,6,1,0.22,1,0.2727,0.8,0.0,8,32,40,2011-01-01,1012011
3,01-01-2011,1,0,1,2,False,6,1,0.22,2,0.2727,0.8,0.0,5,27,32,2011-01-01,1012011
4,01-01-2011,1,0,1,3,False,6,1,0.24,3,0.2879,0.75,0.0,3,10,13,2011-01-01,1012011
5,01-01-2011,1,0,1,4,False,6,1,0.24,4,0.2879,0.75,0.0,0,1,1,2011-01-01,1012011
6,01-01-2011,1,0,1,5,False,6,2,0.24,5,0.2576,0.75,0.0896,0,1,1,2011-01-01,1012011
7,01-01-2011,1,0,1,6,False,6,1,0.22,6,0.2727,0.8,0.0,2,0,2,2011-01-01,1012011
8,01-01-2011,1,0,1,7,False,6,1,0.2,7,0.2576,0.86,0.0,1,2,3,2011-01-01,1012011
9,01-01-2011,1,0,1,8,False,6,1,0.24,8,,0.75,0.0,1,7,8,2011-01-01,1012011
10,01-01-2011,1,0,1,9,False,6,1,0.32,9,0.3485,0.76,0.0,8,6,14,2011-01-01,1012011
11,01-01-2011,1,0,1,10,False,6,1,0.38,10,0.3939,0.76,0.2537,12,24,36,2011-01-01,1012011
12,01-01-2011,1,0,1,11,False,6,1,0.36,11,0.3333,0.81,0.2836,26,30,56,2011-01-01,1012011
13,01-01-2011,1,0,1,12,False,6,1,0.42,12,0.4242,0.77,0.2836,29,55,84,2011-01-01,1012011
14,01-01-2011,1,0,1,13,False,6,2,0.46,13,0.4545,0.72,0.2985,47,47,94,2011-01-01,1012011
15,01-01-2011,1,0,1,14,False,6,2,0.46,14,0.4545,0.72,0.2836,35,71,106,2011-01-01,1012011
16,01-01-2011,1,0,1,15,False,6,2,0.44,15,0.4394,0.77,0.2985,40,70,110,2011-01-01,1012011
17,01-01-2011,1,0,1,16,False,6,2,0.42,16,0.4242,0.82,0.2985,41,52,93,2011-01-01,1012011
18,01-01-2011,1,0,1,17,False,6,2,0.44,17,,0.82,0.2836,15,52,67,2011-01-01,1012011
19,01-01-2011,1,0,1,18,False,6,3,0.42,18,0.4242,0.88,0.2537,9,26,35,2011-01-01,1012011
20,01-01-2011,1,0,1,19,False,6,3,0.42,19,0.4242,0.88,0.2537,6,31,37,2011-01-01,1012011
21,01-01-2011,1,0,1,20,False,6,2,0.4,20,0.4091,0.87,0.2537,11,25,36,2011-01-01,1012011
22,01-01-2011,1,0,1,21,False,6,2,0.4,21,0.4091,0.87,0.194,3,31,34,2011-01-01,1012011
23,01-01-2011,1,0,1,22,False,6,2,0.4,22,0.4091,0.94,0.2239,11,17,28,2011-01-01,1012011
24,01-01-2011,1,0,1,23,False,6,2,0.46,23,,0.88,0.2985,15,24,39,2011-01-01,1012011
25,02-01-2011,1,0,1,0,False,0,2,0.46,24,0.4545,0.88,0.2985,4,13,17,2011-01-02,2012011
26,02-01-2011,1,0,1,1,False,0,2,0.44,25,0.4394,0.94,0.2537,1,16,17,2011-01-02,2012011
27,02-01-2011,1,0,1,2,False,0,2,0.42,26,0.4242,1.0,0.2836,1,8,9,2011-01-02,2012011
28,02-01-2011,1,0,1,3,False,0,2,0.46,27,0.4545,0.94,0.194,2,4,6,2011-01-02,2012011
29,02-01-2011,1,0,1,4,False,0,2,0.46,28,,0.94,0.194,2,1,3,2011-01-02,2012011
30,02-01-2011,1,0,1,6,False,0,3,0.42,29,0.4242,0.77,0.2985,0,2,2,2011-01-02,2012011
31,02-01-2011,1,0,1,7,False,0,2,0.4,30,0.4091,0.76,0.194,0,1,1,2011-01-02,2012011
32,02-01-2011,1,0,1,8,False,0,3,0.4,31,0.4091,0.71,0.2239,0,8,8,2011-01-02,2012011
33,02-01-2011,1,0,1,9,False,0,2,0.38,32,,0.76,0.2239,1,19,20,2011-01-02,2012011
34,02-01-2011,1,0,1,10,False,0,2,0.36,33,0.3485,0.81,0.2239,7,46,53,2011-01-02,2012011
35,02-01-2011,1,0,1,11,False,0,2,0.36,34,0.3333,0.71,0.2537,16,54,70,2011-01-02,2012011
36,02-01-2011,1,0,1,12,False,0,2,0.36,35,0.3333,0.66,0.2985,20,73,93,2011-01-02,2012011
37,02-01-2011,1,0,1,13,False,0,2,0.36,36,0.3485,0.66,0.1343,11,64,75,2011-01-02,2012011
38,02-01-2011,1,0,1,14,False,0,3,0.36,37,,0.76,0.194,4,55,59,2011-01-02,2012011
39,02-01-2011,1,0,1,15,False,0,3,0.34,38,0.3333,0.81,0.1642,19,55,74,2011-01-02,2012011
40,02-01-2011,1,0,1,16,False,0,3,0.34,39,0.3333,0.71,0.1642,9,67,76,2011-01-02,2012011
41,02-01-2011,1,0,1,17,False,0,1,0.34,40,0.3333,0.57,0.194,7,58,65,2011-01-02,2012011
